               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.024476,           0.0092049,                   0,             0.87757,              0.6646,             0.72949,             0.50924,            0.028111,           0.0073414,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.024471,           0.0091131,                   0,             0.89127,             0.68789,              0.7342,             0.51867,             0.02809,           0.0071331,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.023844,           0.0091828,                   0,             0.88043,             0.68012,             0.73675,             0.51882,            0.027886,           0.0072448,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02389,           0.0092865,                   0,             0.87875,             0.68478,             0.74256,              0.5317,            0.028068,             0.00733,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.023784,           0.0093462,                   0,              0.8749,             0.68012,             0.73208,             0.52034,            0.028268,           0.0072505,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.023859,           0.0093373,                   0,             0.89739,             0.66304,             0.73473,             0.52356,            0.028143,           0.0072467,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.023482,           0.0089582,                   0,             0.87498,             0.67857,             0.73323,             0.52048,            0.027894,           0.0072551,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.023262,           0.0090681,                   0,             0.87467,             0.68789,             0.74014,             0.52216,             0.02795,           0.0073711,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023435,           0.0091431,                   0,             0.85508,             0.69099,             0.74102,             0.52917,             0.02791,           0.0071728,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023533,           0.0092056,                   0,             0.86397,             0.70342,             0.74322,             0.53228,            0.028133,           0.0074854,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.023141,           0.0089437,                   0,              0.8685,             0.68012,              0.7429,             0.53368,            0.027848,           0.0072477,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022979,           0.0088584,                   0,             0.86208,             0.67547,             0.73069,             0.52091,            0.027818,           0.0072668,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.023529,           0.0088965,                   0,             0.84624,             0.70186,             0.74494,             0.52666,             0.02748,           0.0072849,                   0,            0.002773,            0.002773,            0.002773
